,url
113,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=814&docId=425412784&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=114&search_sort=0&spq=0
114,https://kin.naver.com/qna/detail.naver?d1id=2&dirId=20303&docId=468509097&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=115&search_sort=0&spq=0
115,https://kin.naver.com/qna/detail.naver?d1id=5&dirId=50502&docId=421347701&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=116&search_sort=0&spq=0
116,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=8080103&docId=451642744&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=117&search_sort=0&spq=0
117,https://kin.naver.com/qna/detail.naver?d1id=12&dirId=121103&docId=469128366&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=118&search_sort=0&spq=0
118,https://kin.naver.com/qna/detail.naver?d1id=11&dirId=111606&docId=414159936&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=119&search_sort=0&spq=0
119,https://kin.naver.com/qna/detail.naver?d1id=3&dirId=31503&docId=470347216&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=120&search_sort=0&spq=0
120,https://kin.naver.com/qna/detail.naver?d1id=11&dirId=111606&docId=466012740&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=121&search_sort=0&spq=0
121,https://kin.naver.com/qna/detail.naver?d1id=5&dirId=505&docId=27280350&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=122&search_sort=0&spq=0
122,https://kin.naver.com/qna/detail.naver?d1id=11&dirId=111606&docId=413910636&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=123&search_sort=0&spq=0
123,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80302&docId=470591491&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=124&search_sort=0&spq=0
